Běštín;49.80198;14.02162
Rokytnice;49.46622;17.3856
Rouské;49.47473;17.7834
Lipec;50.08868;15.35134
Svojšice;49.96709;15.60353
Stará Ves;49.37885;17.48923
Střítež nad Ludinou;49.60955;17.7424
Sušice;49.48669;17.54407
Teplice nad Bečvou;49.52798;17.73443
Tovéř;49.6383;17.32073
Vavřinec;49.90705;15.04954
Horní Lomná;49.52374;18.63726
Domamil;49.0849;15.69004
Šonov;50.59525;16.40554
Žatčany;49.08311;16.74271
Dolní Branná;50.59301;15.59675
Dolní Lánov;50.59428;15.66565
Kocbeře;50.4643;15.863
Koupě;49.51524;13.91257
Heřmaničky;49.61282;14.57996
Drahouš;50.07134;13.49736
Hulice;49.70964;15.09101
Tupadly;50.44819;14.47582
Slavičín;49.09147;17.87698
Ratíškovice;48.92055;17.1642
Hůry;49.00803;14.53401
Horní Studénky;49.95826;16.81253
Kněžmost;50.48155;15.05149
Nový Dům;50.09084;13.82639
Broumov;49.8926;12.58024
Chlum;49.69479;14.99921
Chocerady;49.87258;14.82273
Čakov;49.8205;14.83689
Trubská;49.95352;13.99612
Poříčí nad Sázavou;49.84131;14.66485
Postupice;49.72496;14.76456
Pravonín;49.63615;14.93308
Jeřmanice;50.70108;15.09209
Krhanice;49.86639;14.55882
Buzice;49.42598;13.94225
Kamenné Žehrovice;50.12645;14.02476
Drnek;50.20236;13.95733
Kamenný Most;50.24442;14.20133
Libež;49.75801;14.91399
Rovensko pod Troskami;50.54787;15.24267
Bukovník;49.2233;13.66125
Louňovice pod Blaníkem;49.63743;14.86033
Podolí;49.44503;17.53061
Závraty;48.93751;14.37772
Vísky;49.6526;13.67685
Mezno;49.53579;14.65157
Nicov;49.12246;13.61072
Bohutín;49.95489;16.88248
Mazelov;49.09848;14.62757
Branná;50.16124;17.02434
Votice;49.63892;14.63414
Podveky;49.82675;14.98527
Červený Újezd;49.56923;14.62388
Benešov;49.78899;14.69044
Bystřice;49.72094;14.66311
Čerčany;49.85281;14.70629
Vítonice;48.9236;16.21346
Vrchotovy Janovice;49.68098;14.57394
Bezděkov;49.8243;13.59479
Opatovice I;49.85191;15.24371
Třebětín;49.77873;15.26966
Třebešice;49.92912;15.34513
Chomle;49.86393;13.63583
Polní Chrčice;50.11282;15.30004
Kobylnice;50.01086;15.37786
Kakejcov;49.67069;13.62863
Dříteč;50.10643;15.8181
Černvír;49.44635;16.3461
Týnec nad Sázavou;49.83747;14.59781
Drahoňův Újezd;49.8627;13.71812
Janská;50.81388;14.37814
Petroupim;49.81337;14.75949
Velenov;49.48423;16.74161
Račice;50.01005;13.92166
Kunratice;50.92204;15.02336
Veliš;49.67135;14.81814
Starkoč;49.938;15.50803
Hostomice;49.82027;14.0429
Hředle;49.91205;13.91977
Hýskov;49.99945;14.04997
Blažovice;49.16216;16.78894
Kožušany-Tážaly;49.53907;17.24443
Čeradice;50.30494;13.48133
Smilkov;49.60394;14.6349
Hurtova Lhota;49.59438;15.51219
Vysoká;49.55986;15.62257
Urbanice;50.1818;15.72679
Lutín;49.55201;17.13017
Pěnčín;49.5706;17.01266
Brníčko;49.89105;16.97723
Stará Ves;49.98863;17.2135
Staré Hrady;50.38811;15.21161
Libá;50.12101;12.24033
